Qty,Value,Footprint,LCSC,References,Part / spec
20,BUS,eurorack_bus:ER_BusHeader_2x08_Shrouded,-,J1 J2 J3 J4 J5 J6 J7 J8 J9 J10 J11 J12 J13 J14 J15 J16 J17 J18 J19 J20,"2x8 2.54mm shrouded/keyed box header, vertical THT"
3,220u/25V,eurorack_bus:ER_CP_Radial_D8_P3.5,-,C41 C42 C43,"220uF 25V low-ESR radial electrolytic, 8mm dia, 3.5mm pitch"
1,100k,eurorack_bus:ER_Chip_0805,C2907293,R1,"FOJAN FRC0805J104 TS, 100k 5% 125mW thick film, 0805"
40,100n,eurorack_bus:ER_Chip_0805,C49678,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 C30 C31 C32 C33 C34 C35 C36 C37 C38 C39 C40,"YAGEO CC0805KRX7R9BB104, 100nF 50V X7R +/-10%, 0805"
1,1k,eurorack_bus:ER_Chip_0805,C2907295,R4,"FOJAN FRC0805J102 TS, 1k 5% 125mW thick film, 0805"
2,3k9,eurorack_bus:ER_Chip_0805,C7319412,R2 R3,"YAGEO SR0805JR-473K9L, 3.9k 5% 500mW anti-surge, 0805"
20,0R5 PTC,eurorack_bus:ER_Chip_1206,C163512,F3 F6 F9 F12 F15 F18 F21 F24 F27 F30 F33 F36 F39 F42 F45 F48 F51 F54 F57 F60,"Littelfuse 1206L050YR, 500mA hold/1A trip, 6V, 150mOhm, 100ms, 1206"
2,SMBJ13A,eurorack_bus:ER_Diode_SMB,C19077567,D4 D5,"R+O SMBJ13A, uni TVS 13V standoff / 15.9V breakdown / 21.5V clamp, 600W, SMB"
1,SMBJ6.0A,eurorack_bus:ER_Diode_SMB,C19077560,D6,"R+O SMBJ6.0A, uni TVS 6V standoff / 7.37V breakdown / 10.3V clamp, 600W, SMB"
3,SS54,eurorack_bus:ER_Diode_SMC,C3014039,D1 D2 D3,"FOSAN SS54C, Schottky 5A 40V Vf=0.55V@5A, IFSM 150A, SMC/DO-214AB"
1,LED_GRN,eurorack_bus:ER_LED_0805,C84260,D8,"NATIONSTAR NCD0805G1, green 520nm, Vf 2.5-3.6V, 400mcd@20mA, 0805"
1,LED_RED,eurorack_bus:ER_LED_0805,C84256,D7,"NATIONSTAR NCD0805R1, red 630nm, Vf 1.6-2.6V, 195mcd@25mA, 130deg, 0805"
1,LED_YEL,eurorack_bus:ER_LED_0805,C84261,D9,"NATIONSTAR NCD0805Y1, yellow 595nm, Vf 1.6-2.6V, 180mcd@25mA, 130deg, 0805"
2,PWR IN,eurorack_bus:ER_MiniFitJr_2x03_RA,-,J21 J22,"Molex Mini-Fit Jr 5569 2x3 right-angle, 4.2mm (39-30-1060)"
9,M3,eurorack_bus:ER_MountingHole_M3,-,H1 H2 H3 H4 H5 H6 H7 H8 H9,"mounting hole, no part"
41,1.1A PTC,eurorack_bus:ER_PTC_1812,C210835,F1 F2 F4 F5 F7 F8 F10 F11 F13 F14 F16 F17 F19 F20 F22 F23 F25 F26 F28 F29 F31 F32 F34 F35 F37 F38 F40 F41 F43 F44 F46 F47 F49 F50 F52 F53 F55 F56 F58 F59 F63,"Bourns MF-MSMF110/24X-2, 1.1A hold/2.2A trip, 24V, 60mOhm, 1812"
2,2.6A PTC,eurorack_bus:ER_PTC_1812,C2760294,F61 F62,"BNstar SMD1812-260C-16V, 2.6A hold/5.2A trip, 16V, 15mOhm, 1812"
1,AO3401A,eurorack_bus:ER_SOT23,C347476,Q1,"UMW AO3401A, P-ch MOSFET 30V 4.2A, RDS(on) 50mOhm@10V, Vgs(th) 1.3V, SOT-23"
1,GND,eurorack_bus:ER_WirePad_2.2mm,-,J24,"solder pad, no part"
1,IN_N12,eurorack_bus:ER_WirePad_2.2mm,-,J23,"solder pad, no part"
1,IN_P12,eurorack_bus:ER_WirePad_2.2mm,-,J25,"solder pad, no part"
1,IN_P5,eurorack_bus:ER_WirePad_2.2mm,-,J26,"solder pad, no part"
