Designator,Mid X,Mid Y,Layer,Rotation
C1,6.500000,-16.000000,Top,90.000000
C2,5.800000,-47.000000,Top,90.000000
C3,22.500000,-16.000000,Top,90.000000
C4,21.800000,-47.000000,Top,90.000000
C5,38.500000,-16.000000,Top,90.000000
C6,37.800000,-47.000000,Top,90.000000
C7,54.500000,-16.000000,Top,90.000000
C8,53.800000,-47.000000,Top,90.000000
C9,70.500000,-16.000000,Top,90.000000
C10,69.800000,-47.000000,Top,90.000000
C11,86.500000,-16.000000,Top,90.000000
C12,85.800000,-47.000000,Top,90.000000
C13,102.500000,-16.000000,Top,90.000000
C14,101.800000,-47.000000,Top,90.000000
C15,118.500000,-16.000000,Top,90.000000
C16,117.800000,-47.000000,Top,90.000000
C17,134.500000,-16.000000,Top,90.000000
C18,133.800000,-47.000000,Top,90.000000
C19,150.500000,-16.000000,Top,90.000000
C20,149.800000,-47.000000,Top,90.000000
C21,252.500000,-16.000000,Top,90.000000
C22,251.800000,-47.000000,Top,90.000000
C23,268.500000,-16.000000,Top,90.000000
C24,267.800000,-47.000000,Top,90.000000
C25,284.500000,-16.000000,Top,90.000000
C26,283.800000,-47.000000,Top,90.000000
C27,300.500000,-16.000000,Top,90.000000
C28,299.800000,-47.000000,Top,90.000000
C29,316.500000,-16.000000,Top,90.000000
C30,315.800000,-47.000000,Top,90.000000
C31,332.500000,-16.000000,Top,90.000000
C32,331.800000,-47.000000,Top,90.000000
C33,348.500000,-16.000000,Top,90.000000
C34,347.800000,-47.000000,Top,90.000000
C35,364.500000,-16.000000,Top,90.000000
C36,363.800000,-47.000000,Top,90.000000
C37,380.500000,-16.000000,Top,90.000000
C38,379.800000,-47.000000,Top,90.000000
C39,396.500000,-16.000000,Top,90.000000
C40,395.800000,-47.000000,Top,90.000000
D1,243.000000,-53.000000,Top,0.000000
D2,216.000000,-14.000000,Top,0.000000
D3,216.000000,-4.500000,Top,0.000000
D4,232.000000,-53.000000,Top,0.000000
D5,228.000000,-14.000000,Top,180.000000
D6,228.000000,-4.500000,Top,180.000000
D7,236.000000,-41.000000,Top,180.000000
D8,236.000000,-29.000000,Top,0.000000
D9,236.000000,-35.000000,Top,0.000000
F1,13.270000,-47.000000,Top,90.000000
F2,19.500000,-19.000000,Top,90.000000
F3,17.000000,-12.100000,Top,90.000000
F4,29.270000,-47.000000,Top,90.000000
F5,35.500000,-19.000000,Top,90.000000
F6,33.000000,-12.100000,Top,90.000000
F7,45.270000,-47.000000,Top,90.000000
F8,51.500000,-19.000000,Top,90.000000
F9,49.000000,-12.100000,Top,90.000000
F10,61.270000,-47.000000,Top,90.000000
F11,67.500000,-19.000000,Top,90.000000
F12,65.000000,-12.100000,Top,90.000000
F13,77.270000,-47.000000,Top,90.000000
F14,83.500000,-19.000000,Top,90.000000
F15,81.000000,-12.100000,Top,90.000000
F16,93.270000,-47.000000,Top,90.000000
F17,99.500000,-19.000000,Top,90.000000
F18,97.000000,-12.100000,Top,90.000000
F19,109.270000,-47.000000,Top,90.000000
F20,115.500000,-19.000000,Top,90.000000
F21,113.000000,-12.100000,Top,90.000000
F22,125.270000,-47.000000,Top,90.000000
F23,131.500000,-19.000000,Top,90.000000
F24,129.000000,-12.100000,Top,90.000000
F25,141.270000,-47.000000,Top,90.000000
F26,147.500000,-19.000000,Top,90.000000
F27,145.000000,-12.100000,Top,90.000000
F28,157.270000,-47.000000,Top,90.000000
F29,163.500000,-19.000000,Top,90.000000
F30,161.000000,-12.100000,Top,90.000000
F31,259.270000,-47.000000,Top,90.000000
F32,265.500000,-19.000000,Top,90.000000
F33,263.000000,-12.100000,Top,90.000000
F34,275.270000,-47.000000,Top,90.000000
F35,281.500000,-19.000000,Top,90.000000
F36,279.000000,-12.100000,Top,90.000000
F37,291.270000,-47.000000,Top,90.000000
F38,297.500000,-19.000000,Top,90.000000
F39,295.000000,-12.100000,Top,90.000000
F40,307.270000,-47.000000,Top,90.000000
F41,313.500000,-19.000000,Top,90.000000
F42,311.000000,-12.100000,Top,90.000000
F43,323.270000,-47.000000,Top,90.000000
F44,329.500000,-19.000000,Top,90.000000
F45,327.000000,-12.100000,Top,90.000000
F46,339.270000,-47.000000,Top,90.000000
F47,345.500000,-19.000000,Top,90.000000
F48,343.000000,-12.100000,Top,90.000000
F49,355.270000,-47.000000,Top,90.000000
F50,361.500000,-19.000000,Top,90.000000
F51,359.000000,-12.100000,Top,90.000000
F52,371.270000,-47.000000,Top,90.000000
F53,377.500000,-19.000000,Top,90.000000
F54,375.000000,-12.100000,Top,90.000000
F55,387.270000,-47.000000,Top,90.000000
F56,393.500000,-19.000000,Top,90.000000
F57,391.000000,-12.100000,Top,90.000000
F58,403.270000,-47.000000,Top,90.000000
F59,409.500000,-19.000000,Top,90.000000
F60,407.000000,-12.100000,Top,90.000000
F61,172.500000,-36.500000,Top,0.000000
F62,172.500000,-32.000000,Top,0.000000
F63,172.500000,-27.500000,Top,0.000000
Q1,172.000000,-22.000000,Top,0.000000
R1,169.000000,-21.500000,Top,180.000000
R2,242.000000,-41.000000,Top,0.000000
R3,242.000000,-29.000000,Top,0.000000
R4,242.000000,-35.000000,Top,0.000000
