Comment,Designator,Footprint,LCSC Part #,Spec to search
100n,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40",ER_Chip_0805,C49678,"YAGEO CC0805KRX7R9BB104, 100nF 50V X7R +/-10%, 0805"
SS54,"D1,D2,D3",ER_Diode_SMC,C3014039,"FOSAN SS54C, Schottky 5A 40V Vf=0.55V@5A, IFSM 150A, SMC/DO-214AB"
SMBJ13A,"D4,D5",ER_Diode_SMB,C19077567,"R+O SMBJ13A, uni TVS 13V standoff / 15.9V breakdown / 21.5V clamp, 600W, SMB"
SMBJ6.0A,D6,ER_Diode_SMB,C19077560,"R+O SMBJ6.0A, uni TVS 6V standoff / 7.37V breakdown / 10.3V clamp, 600W, SMB"
LED_RED,D7,ER_LED_0805,C84256,"NATIONSTAR NCD0805R1, red 630nm, Vf 1.6-2.6V, 195mcd@25mA, 130deg, 0805"
LED_GRN,D8,ER_LED_0805,C84260,"NATIONSTAR NCD0805G1, green 520nm, Vf 2.5-3.6V, 400mcd@20mA, 0805"
LED_YEL,D9,ER_LED_0805,C84261,"NATIONSTAR NCD0805Y1, yellow 595nm, Vf 1.6-2.6V, 180mcd@25mA, 130deg, 0805"
1.1A PTC,"F1,F2,F4,F5,F7,F8,F10,F11,F13,F14,F16,F17,F19,F20,F22,F23,F25,F26,F28,F29,F31,F32,F34,F35,F37,F38,F40,F41,F43,F44,F46,F47,F49,F50,F52,F53,F55,F56,F58,F59,F63",ER_PTC_1812,C210835,"Bourns MF-MSMF110/24X-2, 1.1A hold/2.2A trip, 24V, 60mOhm, 1812"
0R5 PTC,"F3,F6,F9,F12,F15,F18,F21,F24,F27,F30,F33,F36,F39,F42,F45,F48,F51,F54,F57,F60",ER_Chip_1206,C163512,"Littelfuse 1206L050YR, 500mA hold/1A trip, 6V, 150mOhm, 100ms, 1206"
2.6A PTC,"F61,F62",ER_PTC_1812,C2760294,"BNstar SMD1812-260C-16V, 2.6A hold/5.2A trip, 16V, 15mOhm, 1812"
AO3401A,Q1,ER_SOT23,C347476,"UMW AO3401A, P-ch MOSFET 30V 4.2A, RDS(on) 50mOhm@10V, Vgs(th) 1.3V, SOT-23"
100k,R1,ER_Chip_0805,C2907293,"FOJAN FRC0805J104 TS, 100k 5% 125mW thick film, 0805"
3k9,"R2,R3",ER_Chip_0805,C7319412,"YAGEO SR0805JR-473K9L, 3.9k 5% 500mW anti-surge, 0805"
1k,R4,ER_Chip_0805,C2907295,"FOJAN FRC0805J102 TS, 1k 5% 125mW thick film, 0805"
